boreholeId,collarLatitude,collarLongitude,elevationMeters,totalDepthMeters,seamInterceptDepthMeters,seamThicknessMeters,avgMnGradePct,avgFeGradePct,avgSiO2GradePct,avgPGradePct,coreRecoveryPct,rqdPct,rockFormation,drillingYear,drillRigType,sourceId,sourceName,dataType,isSynthetic
BH-BLG-2026-01,21.8085,80.1825,324.5,340.0,215.0,14.8,47.2,5.8,6.4,0.07,93.5,88.0,Mansar Formation Braunitic Manganese Horizon,2026,Atlas Copco CS14 Diamond Core Rig,src-moil-exploration,MOIL Balaghat Exploration Division,OFFICIAL_MOIL,false
BH-BLG-2026-02,21.8102,80.1848,321.0,310.0,195.0,12.5,46.8,6.1,6.9,0.08,91.2,85.5,Mansar Formation Braunitic Manganese Horizon,2026,Atlas Copco CS14 Diamond Core Rig,src-moil-exploration,MOIL Balaghat Exploration Division,OFFICIAL_MOIL,false
BH-BLG-2026-03,21.8068,80.1810,328.0,365.0,238.0,16.2,48.1,5.4,5.8,0.06,94.8,90.2,Balaghat Deep Seam Footwall Quartzite,2026,Boart Longyear LF90D Surface Rig,src-moil-exploration,MOIL Balaghat Exploration Division,OFFICIAL_MOIL,false
BH-DBG-2026-01,21.5724,79.7042,312.0,190.0,95.0,11.0,42.5,7.4,8.2,0.21,88.5,81.0,Dongri Buzurg Supergene Wad & Pyrolusite,2026,Voltas 40 Wireline Drill Rig,src-moil-exploration,MOIL Dongri Buzurg Division,OFFICIAL_MOIL,false
BH-DBG-2026-02,21.5748,79.7075,308.5,215.0,112.0,13.4,43.1,7.0,7.8,0.19,89.8,83.4,Dongri Buzurg Pyrolusite Band,2026,Voltas 40 Wireline Drill Rig,src-moil-exploration,MOIL Dongri Buzurg Division,OFFICIAL_MOIL,false
BH-KND-2026-01,21.4925,79.2814,335.0,275.0,165.0,13.8,45.2,5.8,6.6,0.11,92.0,86.0,Kandri Gonditic Manganese Horizon,2026,Atlas Copco CS14 Diamond Core Rig,src-moil-exploration,MOIL Kandri Division,OFFICIAL_MOIL,false
BH-KND-2026-02,21.4948,79.2840,332.0,290.0,180.0,15.1,45.8,5.6,6.3,0.10,93.1,87.5,Kandri Footwall Schist Contact,2026,Atlas Copco CS14 Diamond Core Rig,src-moil-exploration,MOIL Kandri Division,OFFICIAL_MOIL,false
BH-MSR-2026-01,21.4720,79.2530,318.0,225.0,130.0,10.5,41.8,7.1,8.9,0.17,87.4,79.5,Mansar Mica Schist & Braunitic Lode,2026,Kores D750 Diamond Core Drill,src-moil-exploration,MOIL Mansar Division,OFFICIAL_MOIL,false
BH-GMG-2026-01,21.3650,78.9820,298.0,315.0,205.0,14.2,43.6,6.4,7.2,0.13,90.5,84.0,Gumgaon Underground Braunitic Reef,2026,Boart Longyear LF90D Surface Rig,src-moil-exploration,MOIL Gumgaon Division,OFFICIAL_MOIL,false
BH-TRD-2026-01,21.6880,79.7120,345.0,185.0,85.0,9.8,40.8,8.0,9.9,0.18,86.0,78.0,Tirodi Biotite Gneiss Manganese Lode,2026,Voltas 40 Wireline Drill Rig,src-moil-exploration,MOIL Tirodi Division,OFFICIAL_MOIL,false
BH-CHK-2026-01,21.5580,79.7890,320.0,250.0,150.0,12.0,43.0,6.7,7.9,0.14,89.0,82.5,Chikla Sitasaongi Horizon Manganese Ore,2026,Atlas Copco CS14 Diamond Core Rig,src-moil-exploration,MOIL Chikla Division,OFFICIAL_MOIL,false
BH-UKW-2026-01,21.9680,80.4680,410.0,230.0,140.0,11.5,45.5,5.2,6.0,0.05,94.0,89.0,Ukwa Low-Phosphorus Braunitic Seam,2026,Atlas Copco CS14 Diamond Core Rig,src-moil-exploration,MOIL Ukwa Division,OFFICIAL_MOIL,false
BH-BLD-2026-01,21.3450,79.3520,305.0,170.0,75.0,8.5,39.8,8.4,10.8,0.20,85.0,76.5,Beldongri Mansar Band Manganiferous Reef,2026,Kores D750 Diamond Core Drill,src-moil-exploration,MOIL Beldongri Division,OFFICIAL_MOIL,false
BH-STP-2026-01,21.7250,79.7650,330.0,160.0,70.0,8.0,38.5,8.8,11.2,0.23,84.5,75.0,Sitapatore Sukli Manganese Quartzite Lode,2026,Kores D750 Diamond Core Drill,src-moil-exploration,MOIL Sitapatore Division,OFFICIAL_MOIL,false
